865.0,1104.0,783.0,1461.0,865.0,6724.0,127449.0,134173.0,82.0,357.0,366.2963281279243,0.22386246790702896,1.3450206009541001,77.0640037928196
866.0,1104.0,784.0,1465.0,866.0,6724.0,130321.0,137045.0,82.0,361.0,370.19589408852175,0.22150434758844745,1.3474394574544577,77.20259406153788
867.0,1103.0,779.0,1460.0,867.0,7744.0,127449.0,135193.0,88.0,357.0,367.6860073486616,0.2393346448905063,1.3291158047435134,76.15272609593733
866.0,1104.0,784.0,1466.0,866.0,6724.0,131044.0,137768.0,82.0,362.0,371.1711195661645,0.22092236081256528,1.3480362289947516,77.23678655213024
866.0,1104.0,779.0,1460.0,866.0,7569.0,126736.0,134305.0,87.0,356.0,366.47646582011237,0.23739587153382063,1.3311121211463781,76.2671066003942
866.0,1103.0,778.0,1465.0,866.0,7744.0,131044.0,138788.0,88.0,362.0,372.54261501202785,0.23621458714772495,1.3323279883545618,76.33677065987149
865.0,1103.0,783.0,1466.0,865.0,6724.0,131769.0,138493.0,82.0,363.0,372.1464765384727,0.22034334642295825,1.3486298725940231,77.27079982490345
868.0,1104.0,786.0,1465.0,868.0,6724.0,130321.0,137045.0,82.0,361.0,370.19589408852175,0.22150434758844745,1.3474394574544577,77.20259406153788
863.0,1105.0,787.0,1465.0,863.0,5776.0,129600.0,135376.0,76.0,360.0,367.93477682872003,0.2065583488874152,1.362740190003871,78.0792614600777
866.0,1102.0,778.0,1460.0,866.0,7744.0,128164.0,135908.0,88.0,358.0,368.65702217643974,0.23870425546345103,1.329765011587017,76.18992290810108
864.0,1104.0,787.0,1465.0,864.0,5929.0,130321.0,136250.0,77.0,361.0,369.120576505835,0.20860392213540768,1.3606490670836433,77.95944894230558
865.0,1103.0,783.0,1466.0,865.0,6724.0,131769.0,138493.0,82.0,363.0,372.1464765384727,0.22034334642295825,1.3486298725940231,77.27079982490345
863.0,1106.0,787.0,1465.0,863.0,5776.0,128881.0,134657.0,76.0,359.0,366.9564006799718,0.20710907306473375,1.362177293813989,78.04700988409348
865.0,1104.0,788.0,1465.0,865.0,5929.0,130321.0,136250.0,77.0,361.0,369.120576505835,0.20860392213540768,1.3606490670836433,77.95944894230558
866.0,1103.0,778.0,1465.0,866.0,7744.0,131044.0,138788.0,88.0,362.0,372.54261501202785,0.23621458714772495,1.3323279883545618,76.33677065987149
866.0,1103.0,784.0,1465.0,866.0,6724.0,131044.0,137768.0,82.0,362.0,371.1711195661645,0.22092236081256528,1.3480362289947516,77.23678655213024
866.0,1103.0,779.0,1465.0,866.0,7569.0,131044.0,138613.0,87.0,362.0,372.307668467895,0.23367770091338375,1.3349379319597654,76.48630941321682
866.0,1102.0,778.0,1465.0,866.0,7744.0,131769.0,139513.0,88.0,363.0,373.51439061969216,0.23560002562150417,1.332960399337446,76.37300514010846
863.0,1105.0,786.0,1460.0,863.0,5929.0,126025.0,131954.0,77.0,355.0,363.2547315589984,0.2119724626009282,1.3572034794542531,77.76203131319905
866.0,1102.0,778.0,1460.0,866.0,7744.0,128164.0,135908.0,88.0,358.0,368.65702217643974,0.23870425546345103,1.329765011587017,76.18992290810108
868.0,1104.0,786.0,1464.0,868.0,6724.0,129600.0,136324.0,82.0,360.0,369.22080114749764,0.22208932905500725,1.346839533614341,77.16822095746991
863.0,1104.0,787.0,1464.0,863.0,5776.0,129600.0,135376.0,76.0,360.0,367.93477682872003,0.2065583488874152,1.362740190003871,78.0792614600777
863.0,1105.0,787.0,1460.0,863.0,5776.0,126025.0,131801.0,76.0,355.0,363.04407445928655,0.2093409735806692,1.3598953752550402,77.91626558147313
863.0,1105.0,787.0,1464.0,863.0,5776.0,128881.0,134657.0,76.0,359.0,366.9564006799718,0.20710907306473375,1.362177293813989,78.04700988409348
863.0,1104.0,787.0,1464.0,863.0,5776.0,129600.0,135376.0,76.0,360.0,367.93477682872003,0.2065583488874152,1.362740190003871,78.0792614600777
866.0,1103.0,784.0,1465.0,866.0,6724.0,131044.0,137768.0,82.0,362.0,371.1711195661645,0.22092236081256528,1.3480362289947516,77.23678655213024
866.0,1103.0,778.0,1459.0,866.0,7744.0,126736.0,134480.0,88.0,356.0,366.7151483099655,0.239968270756075,1.3284631601418817,76.11533231474182
865.0,1103.0,777.0,1465.0,865.0,7744.0,131044.0,138788.0,88.0,362.0,372.54261501202785,0.23621458714772495,1.3323279883545618,76.33677065987149
865.0,1103.0,778.0,1459.0,865.0,7569.0,126736.0,134305.0,87.0,356.0,366.47646582011237,0.23739587153382063,1.3311121211463781,76.2671066003942
866.0,1103.0,778.0,1465.0,866.0,7744.0,131044.0,138788.0,88.0,362.0,372.54261501202785,0.23621458714772495,1.3323279883545618,76.33677065987149
866.0,1103.0,778.0,1465.0,866.0,7744.0,131044.0,138788.0,88.0,362.0,372.54261501202785,0.23621458714772495,1.3323279883545618,76.33677065987149
865.0,1103.0,783.0,1465.0,865.0,6724.0,131044.0,137768.0,82.0,362.0,371.1711195661645,0.22092236081256528,1.3480362289947516,77.23678655213024
866.0,1103.0,784.0,1465.0,866.0,6724.0,131044.0,137768.0,82.0,362.0,371.1711195661645,0.22092236081256528,1.3480362289947516,77.23678655213024
866.0,1103.0,778.0,1465.0,866.0,7744.0,131044.0,138788.0,88.0,362.0,372.54261501202785,0.23621458714772495,1.3323279883545618,76.33677065987149
865.0,1103.0,783.0,1465.0,865.0,6724.0,131044.0,137768.0,82.0,362.0,371.1711195661645,0.22092236081256528,1.3480362289947516,77.23678655213024
