Time [sec],PELVIS X [deg],PELVIS Y [deg],PELVIS Z [deg],SPINE X [deg],SPINE Y [deg],SPINE Z [deg],STERNUM X [deg],STERNUM Y [deg],STERNUM Z [deg],NECK X [deg],NECK Y [deg],NECK Z [deg],R_FEMUR X [deg],R_FEMUR Y [deg],R_FEMUR Z [deg],R_TIBIA X [deg],R_TIBIA Y [deg],R_TIBIA Z [deg],R_FOOT X [deg],R_FOOT Y [deg],R_FOOT Z [deg],L_FEMUR X [deg],L_FEMUR Y [deg],L_FEMUR Z [deg],L_TIBIA X [deg],L_TIBIA Y [deg],L_TIBIA Z [deg],L_FOOT X [deg],L_FOOT Y [deg],L_FOOT Z [deg],L_CLAVICLE X [deg],L_CLAVICLE Y [deg],L_CLAVICLE Z [deg],L_HUMERUS X [deg],L_HUMERUS Y [deg],L_HUMERUS Z [deg],L_ULNA X [deg],L_ULNA Y [deg],L_ULNA Z [deg],L_HAND X [deg],L_HAND Y [deg],L_HAND Z [deg],R_CLAVICLE X [deg],R_CLAVICLE Y [deg],R_CLAVICLE Z [deg],R_HUMERUS X [deg],R_HUMERUS Y [deg],R_HUMERUS Z [deg],R_ULNA X [deg],R_ULNA Y [deg],R_ULNA Z [deg],R_HAND X [deg],R_HAND Y [deg],R_HAND Z [deg],L_TOE X [deg],L_TOE Y [deg],L_TOE Z [deg],R_TOE X [deg],R_TOE Y [deg],R_TOE Z [deg]
0.0,54.271643914109355,-9.578514622453689,-8.17686397504541,39.97032121371098,12.42415202425742,4.277949661058059,-2.0842290643622903,2.5609663588417755,-2.1151856870208,5.839129556281462,-16.803844969070916,-0.3090511940049168,-44.7460601137483,-3.8139239983232227,11.69450372597932,98.60205669446978,-1.0011629275430352,1.4432967682293125,-10.608828283633423,0.6460354125611374,2.196368465775426,-48.02332885180987,2.359333411113609,17.805279342116823,98.75960211436289,0.8295805473297212,-1.357562603054601,-18.835149282812964,-3.846794426706726,9.975072230450987,1.0810956134587244,-9.973929631967433,-16.28838624870607,-35.2325707054471,-10.846650273068166,-53.87877965262408,2.157981241888916,20.563984712623192,-3.226671659054646,15.376612837530672,-15.137365430194693,14.980406115809231,6.948359865235808,5.338228656641291,15.035268272259144,-36.37432486478027,9.541683587153893,49.8831755873886,-2.5567341190496267,-17.91881479405675,-0.6938280442141564,20.00257591403412,0.6117183502637444,-3.9412424090751057,-0.0,0.0,0.0,-0.0,0.0,0.0
0.008333333333333333,54.271643914109355,-9.578514622453689,-8.17686397504541,39.97032121371098,12.42415202425742,4.277949661058059,-2.0842290643622903,2.5609663588417755,-2.1151856870208,5.839129556281462,-16.803844969070916,-0.3090511940049168,-44.7460601137483,-3.8139239983232227,11.69450372597932,98.60252985450026,-0.8392009475403848,1.1383730514770485,-10.607349906207064,0.6079027323528666,2.189222368185344,-48.02332885180987,2.359333411113609,17.805279342116823,98.76025144333792,0.8360381708442732,-1.1406623920563113,-18.835149282812964,-3.846794426706726,9.975072230450987,1.0810956134587244,-9.973929631967433,-16.28838624870607,-35.2325707054471,-10.846650273068166,-53.87877965262408,2.157981241888916,20.563984712623192,-3.226671659054646,15.376612837530672,-15.137365430194693,14.980406115809231,6.948359865235808,5.338228656641291,15.035268272259144,-36.37432486478027,9.541683587153893,49.8831755873886,-2.5567341190496267,-17.91881479405675,-0.6938280442141564,20.00257591403412,0.6117183502637444,-3.9412424090751057,-0.0,0.0,0.0,-0.0,0.0,0.0
0.016666666666666666,54.271643914109355,-9.578514622453689,-8.17686397504541,39.97032121371098,12.42415202425742,4.277949661058059,-2.0842290643622903,2.5609663588417755,-2.1151856870208,5.839129556281462,-16.803844969070916,-0.3090511940049168,-44.7460601137483,-3.8139239983232227,11.69450372597932,98.60252985450026,-0.8391665868466559,1.1383105182658853,-10.607349906207064,0.6078969697025026,2.189221308126575,-48.02332885180987,2.359333411113609,17.805279342116823,98.76025144333792,0.8360381708442732,-1.1406218631546579,-18.835149282812964,-3.846794426706726,9.975072230450987,1.0810956134587244,-9.973929631967433,-16.28838624870607,-35.2325707054471,-10.846650273068166,-53.87877965262408,2.157981241888916,20.563984712623192,-3.226671659054646,15.376612837530672,-15.137365430194693,14.980406115809231,6.948359865235808,5.338228656641291,15.035268272259144,-36.37432486478027,9.541683587153893,49.8831755873886,-2.5567341190496267,-17.91881479405675,-0.6938280442141564,20.00257591403412,0.6117183502637444,-3.9412424090751057,-0.0,0.0,0.0,-0.0,0.0,0.0
0.025,54.271643914109355,-9.578514622453689,-8.17686397504541,39.97032121371098,12.42415202425742,4.277949661058059,-2.0842290643622903,2.5609663588417755,-2.1151856870208,5.839129556281462,-16.803844969070916,-0.3090511940049168,-44.7460601137483,-3.8139239983232227,11.69450372597932,98.60252985450026,-0.8391665868466559,1.1383105182658853,-10.607349906207064,0.6078969697025026,2.189221308126575,-48.02332885180987,2.359333411113609,17.805279342116823,98.76025144333792,0.8360381708442732,-1.1406218631546579,-18.835149282812964,-3.846794426706726,9.975072230450987,1.0810956134587244,-9.973929631967433,-16.28838624870607,-35.2325707054471,-10.846650273068166,-53.87877965262408,2.157981241888916,20.563984712623192,-3.226671659054646,15.376612837530672,-15.137365430194693,14.980406115809231,6.948359865235808,5.338228656641291,15.035268272259144,-36.37432486478027,9.541683587153893,49.8831755873886,-2.5567341190496267,-17.91881479405675,-0.6938280442141564,20.00257591403412,0.6117183502637444,-3.9412424090751057,-0.0,0.0,0.0,-0.0,0.0,0.0
0.03333333333333333,54.271643914109355,-9.578514622453689,-8.17686397504541,39.97032121371098,12.42415202425742,4.277949661058059,-2.0842290643622903,2.5609663588417755,-2.1151856870208,5.839129556281462,-16.803844969070916,-0.3090511940049168,-44.7460601137483,-3.8139239983232227,11.69450372597932,98.60252985450026,-0.8391665868466559,1.1383105182658853,-10.607349906207064,0.6078969697025026,2.189221308126575,-48.02332885180987,2.359333411113609,17.805279342116823,98.76025144333792,0.8360381708442732,-1.1406218631546579,-18.835149282812964,-3.846794426706726,9.975072230450987,1.0810956134587244,-9.973929631967433,-16.28838624870607,-35.2325707054471,-10.846650273068166,-53.87877965262408,2.157981241888916,20.563984712623192,-3.226671659054646,15.376612837530672,-15.137365430194693,14.980406115809231,6.948359865235808,5.338228656641291,15.035268272259144,-36.37432486478027,9.541683587153893,49.8831755873886,-2.5567341190496267,-17.91881479405675,-0.6938280442141564,20.00257591403412,0.6117183502637444,-3.9412424090751057,-0.0,0.0,0.0,-0.0,0.0,0.0
0.041666666666666664,54.309495294136724,-9.583223273320936,-8.176997030650856,39.928750412757005,12.439351236544924,4.277152132150228,-2.0700692140333263,2.5359534959709693,-2.122325814018859,5.854934407891352,-17.12078059311325,-0.30685987040199175,-44.77866858330231,-3.8104385756942722,11.698271502210464,98.59353917438558,-1.0016615780072615,1.4437815592446155,-10.614737949433563,0.6593628504946198,2.1256529847487946,-48.06025262789339,2.347399682583662,17.791796265490387,98.76302167063663,0.8299184778572725,-1.3570211181092557,-18.839690332985313,-3.8465296044460775,9.984643229288851,1.0859148395058174,-9.981431914165665,-16.297905276579854,-35.24187312819966,-10.867829315680634,-53.83918000377965,2.149113162847021,20.449814245858516,-3.266240248618312,15.686762734361125,-15.461511271812071,14.806907518103896,6.993014799774323,5.329783524760238,15.015631486431516,-36.40808195587367,9.472310272907286,49.83374881027925,-2.533147020429565,-18.052245511988765,-0.6133039967230355,19.982788759943244,0.6931178601188324,-4.1040346299175186,-0.0,0.0,0.0,-0.0,0.0,0.0
0.05,54.308345946381756,-9.583748831824991,-8.182035527683432,39.939789786441395,12.430838807447753,4.284314017330262,-2.088555705310722,2.5400371147463714,-2.1360733198536033,5.873664146961182,-17.186328421293357,-0.30691486891556596,-44.77659275371728,-3.816584701836728,11.699871782394949,98.59580114614825,-1.000756625036715,1.4424752969325727,-10.602421789231876,0.6508254076797029,2.1705729727071015,-48.062076949835756,2.3461150158960082,17.79898592425505,98.76870310039436,0.8296949507059925,-1.3587198271488357,-18.840538205346853,-3.8358544190399413,9.978719115262011,1.0842067768515524,-9.964735858858388,-16.281289946803597,-35.24838620820608,-10.850728594227748,-53.84697972730752,2.181139110110469,20.4641441906565,-3.2813492141262643,15.675697335530138,-15.468467350731068,14.801369959112645,7.01366065389646,5.345253383510081,15.017042791302998,-36.402216655432596,9.480794994962855,49.81486794767622,-2.579276015966966,-18.083627164276223,-0.5995287721980433,19.84442174595322,0.7123825870787225,-3.97100942737403,-0.0,0.0,0.0,-0.0,0.0,0.0
0.058333333333333334,54.30808338582784,-9.584850043260664,-8.184317303927418,39.93981901273866,12.429370376976799,4.284464243069905,-2.089034965988219,2.53835107749577,-2.135179546578539,5.874183382526964,-17.186801252084557,-0.3054888343223617,-44.777529525648006,-3.8163594446997515,11.699073564866737,98.59556534748229,-1.0009166002251395,1.4421714204401272,-10.602590478774712,0.6508422301048001,2.170484603565076,-48.06142787093164,2.3464999845365067,17.798979486383047,98.76870310039436,0.8296434095163581,-1.35849818289666,-18.84042968626319,-3.8358398534056555,9.978659307705755,1.0831794136799207,-9.965549116323965,-16.28067227483738,-35.24821211242221,-10.85085110545075,-53.84616454278453,2.1808151556076742,20.464202624580857,-3.2807960817857045,15.675639337390429,-15.468583441687729,14.80133558192299,7.014581839334086,5.344854742260208,15.017034731637585,-36.40229617467201,9.480797350582728,49.81534747812097,-2.578730782044565,-18.08370763909517,-0.5990960809558975,19.844367132622995,0.7123828321140487,-3.971006796721004,-0.0,0.0,0.0,-0.0,0.0,0.0
0.06666666666666667,54.31581198217746,-9.581248218036052,-8.18213976343104,39.93641239356768,12.43529997425921,4.2832871792545335,-2.0973240772802333,2.5289510867237066,-2.1508089828613266,5.892805405103668,-17.25603100314699,-0.2663898260700494,-44.78390321835121,-3.8207646602108354,11.69394206267342,98.59666737126379,-1.0008479890200224,1.4435457319164124,-10.619334489968777,0.652664918263788,2.1633130112448065,-48.06825724413982,2.3491671080176353,17.80287280927236,98.76516077174146,0.8295454863860573,-1.3568697082352779,-18.842318648696917,-3.8362013991655775,9.97006461743239,1.085906129503944,-9.971776536218492,-16.265939369813772,-35.243206615613175,-10.841285330320648,-53.84765267405638,2.1894179593508833,20.471410832377632,-3.2751496755940877,15.676737094138609,-15.479521870739097,14.809177586328504,7.02317473562733,5.350782891394124,15.011645586168507,-36.41816521393541,9.447804723934729,49.834217499226774,-2.4985992204603367,-18.068322320062247,-0.6049414305090843,19.92366068556186,0.7433536632857335,-4.02934375656613,-0.0,0.0,0.0,-0.0,0.0,0.0
0.075,54.31651278257534,-9.582582925923047,-8.183386859321379,39.93569775862361,12.433594238827192,4.28346017566905,-2.0984990127499903,2.5272204883482066,-2.1507517621196746,5.893074081619573,-17.25643996734844,-0.265533376853727,-44.783334480749005,-3.820621667210099,11.69346296763982,98.59678050884389,-1.000893466931582,1.4434674936738512,-10.619267563669178,0.6526127917708195,2.163336906252643,-48.0676492806787,2.349424380362664,17.803197810046914,98.76550970761653,0.8295513203642932,-1.356773019692468,-18.842318648696917,-3.836155824594684,9.970076643096023,1.0847625652662929,-9.972703441738016,-16.265214844853677,-35.24317451184201,-10.84127693660893,-53.84688787863819,2.188990176007179,20.471416190502023,-3.2746007360239653,15.676695371089629,-15.479651231950946,14.80915099321048,7.023809959295765,5.350256171968036,15.009998844813747,-36.41768707536477,9.448617132175016,49.833599222535135,-2.4987221760109897,-18.06833770126244,-0.6052102095664346,19.923768252783766,0.7434562953126919,-4.029528433959826,-0.0,0.0,0.0,-0.0,0.0,0.0
